Round	Count	Attacker HP	Attacker TUV	Attacker Expected Hits	Attacker Actual Hits	Defender HP	Defender TUV	Defender Expected Hits	Defender Actual Hits
0	500	30.0	150.0	10.0	0.0	20.0	120.0	10.0	0.0
1	500	19.982	117.198	10.0	10.042	9.958	59.748	10.0	10.018
2	500	15.042	90.102	9.542	9.516	1.61	9.66	4.979	4.94
3	248	12.221774193548388	73.30645161290323	6.945564516129032	6.923387096774194	0.20967741935483872	1.2580645161290323	1.622983870967742	1.685483870967742
4	23	6.478260869565218	38.869565217391305	3.847826086956522	3.9130434782608696	0.30434782608695654	1.826086956521739	1.1304347826086956	1.2173913043478262
5	5	3.0	18.0	1.9	2.2	0.2	1.2	0.7	0.8
